Rank,Movie,InternationalBox Office,Box Office OfNumber OneMarket,Share OfNumber OneMarket,Number OneMarket
1,Avengers: Infinity War,"$1,369,318,718","$359,543,168",26.3%,China
2,Jurassic World: Fallen Kingdom,"$888,053,039","$261,223,078",29.4%,China
3,Aquaman,"$811,832,833","$291,800,000",35.9%,China
4,Bohemian Rhapsody,"$676,714,322","$115,700,000",17.1%,Japan
5,Black Panther,"$648,198,658","$104,600,000",16.1%,China
6,Venom,"$640,117,197","$270,034,912",42.2%,China
7,Incredibles 2,"$633,926,020","$73,187,600",11.5%,United Kingdom
8,Hong Hai Xing Dong,"$576,647,204","$575,849,216",99.9%,China
9,Mission: ImpossibleâFallout,"$567,297,448","$180,830,000",31.9%,China
10,Tang Ren Jie Tan An 2,"$542,084,590","$541,406,464",99.9%,China
11,Fantastic Beasts: The Crimes of Grindelwald,"$492,664,185","$58,200,000",11.8%,Japan
12,Deadpool 2,"$462,088,822","$42,952,151",9.3%,United Kingdom
13,Wo Bi Shi Yao Shen,"$451,176,640","$451,176,640",100.0%,China
14,Ready Player One,"$441,599,964","$222,100,000",50.3%,China
15,Ant-Man and the Wasp,"$406,495,920","$120,770,000",29.7%,China
16,The Meg,"$384,086,973","$153,300,000",39.9%,China
17,Xi Hong Shi Shou Fu,"$366,961,920","$366,961,920",100.0%,China
18,Zhuo yao ji 2,"$360,977,662","$356,336,096",98.7%,China
19,Hotel Transylvania 3: Summer Vacation,"$359,560,906","$32,741,220",9.1%,China
20,Bumblebee,"$338,000,000","$170,846,880",50.5%,China
21,Rampage,"$327,028,047","$159,000,000",48.6%,China
22,Ralph Breaks The Internet,"$322,381,106","$39,000,000",12.1%,China
23,Mamma Mia: Here We Go Again!,"$271,839,732","$84,189,103",31.0%,United Kingdom
24,Fifty Shades Freed,"$270,942,859","$33,722,493",12.4%,Germany
25,The Nun,"$246,226,328","$22,300,000",9.1%,Mexico
26,Dr. Seussâ The Grinch,"$240,357,727","$35,572,795",14.8%,United Kingdom
27,Green Book,"$237,636,853","$71,039,624",29.9%,China
28,Skyscraper,"$235,695,414","$98,444,096",41.8%,China
29,Peter Rabbit,"$231,898,187","$54,031,318",23.3%,United Kingdom
30,Pacific Rim: Uprising,"$231,055,623","$99,488,360",43.1%,China
31,A Star is Born,"$218,056,471","$39,000,000",17.9%,United Kingdom
32,Tomb Raider,"$215,226,698","$78,600,000",36.5%,China
33,Hou Lai De Wo Men,"$209,221,328","$209,221,328",100.0%,China
34,Maze Runner: The Death Cure,"$207,846,093","$49,713,628",23.9%,China
35,Yi Chu Hao Xi,"$197,659,887","$197,276,240",99.8%,China
36,Wu Shuang,"$186,027,770","$183,354,992",98.6%,China
37,Spider-Man: Into The Spider-Verse 3D,"$185,069,944","$61,988,276",33.5%,China
38,Solo: A Star Wars Story,"$179,383,835","$25,840,048",14.4%,United Kingdom
39,Mary Poppins Returns,"$168,288,001","$55,886,417",33.2%,United Kingdom
40,Oceanâs 8,"$156,897,265","$14,800,000",9.4%,United Kingdom
41,Johnny English Strikes Again,"$155,007,496","$24,824,538",16.0%,China
42,Bi Bei Shang Geng Bei Shang De Gu Shi,"$150,333,552","$139,613,552",92.9%,China
43,A Quiet Place,"$148,133,165","$34,446,116",23.3%,China
44,How Long Will I Love U,"$136,000,929","$135,346,912",99.5%,China
45,Smallfoot,"$130,446,466","$14,644,717",11.2%,France
46,Wu Wen Xi Dong,"$119,035,160","$119,035,160",100.0%,China
47,Huang Qiang Zou Ban,"$117,577,445","$117,404,848",99.9%,China
48,The Nutcracker and the Four Realms,"$115,435,048","$16,238,604",14.1%,China
49,Xi You Ji Nu Er Guo,"$114,902,870","$114,778,320",99.9%,China
50,The Predator,"$108,462,855","$31,230,912",28.8%,China
51,Meitantei Conan: Zero no ShikkÃ´nin,"$107,918,046","$80,403,456",74.5%,Japan
52,Insidious: The Last Key,"$105,066,641","$9,080,255",8.6%,Indonesia
53,Red Sparrow,"$99,077,356","$11,293,833",11.4%,Germany
54,Christopher Robin,"$98,289,716","$21,496,668",21.9%,Japan
55,Creed II,"$97,875,633","$14,700,000",15.0%,France
56,Xiong Chu Mei Zhi Bian Xing Ji,"$96,755,799","$96,509,976",99.7%,China
57,Halloween,"$95,560,707","$12,406,611",13.0%,Mexico
58,Shou Ji Kuang Xiang,"$94,951,615","$94,864,192",99.9%,China
59,Dragon Ball Super: Broly,"$92,371,000","$34,644,280",37.5%,Japan
60,Singwa Hamgge: Ingwa Yeon,"$91,599,660","$91,134,944",99.5%,South Korea
61,Jing Zhou,"$90,941,185","$90,524,288",99.5%,China
62,Di Ren Jie Zhi Si Da Tian Wang,"$89,772,584","$89,016,856",99.2%,China
63,The Equalizer 2,"$88,368,770","$9,588,072",10.9%,United Kingdom
64,Li Cha De Gu Ma,"$86,876,449","$86,828,608",99.9%,China
65,Xie Bu Ya Zheng,"$85,170,584","$85,170,584",100.0%,China
66,Ai qing gong yu,"$81,096,320","$81,096,320",100.0%,China
67,Eiga Doraemon Nobita no Takarajima,"$79,904,554","$47,108,160",59.0%,Japan
68,Code Blue the Movie,"$78,778,560","$78,778,560",100.0%,Japan
69,Dongwu shijie,"$74,842,075","$74,559,224",99.6%,China
70,AstÃ©rix: Le secret de la potion magique,"$73,237,594","$35,052,308",47.9%,France
71,"Li hai le, wo de guo","$72,506,344","$72,506,344",100.0%,China
72,The Mule,"$70,400,000","$15,100,000",21.4%,France
73,Mortal Engines,"$69,336,377","$7,429,160",10.7%,China
74,Manbiki kazoku,"$69,312,259","$37,816,420",54.6%,Japan
75,The First Purge,"$67,565,852","$10,196,038",15.1%,Mexico
76,The Commuter,"$65,641,573","$7,163,071",10.9%,China
77,Sanju,"$65,616,927","$61,904,244",94.3%,India
78,CafarnaÃºm,"$64,153,085","$54,315,148",84.7%,China
79,L Feng Bao,"$63,931,005","$63,894,020",99.9%,China
80,Alpha,"$63,773,494","$16,604,429",26.0%,China
81,Crazy Rich Asians,"$63,566,790","$17,119,233",26.9%,Australia
82,Padmavati,"$62,784,891","$57,457,285",91.5%,India
83,First Man,"$60,277,268","$10,095,768",16.7%,United Kingdom
84,The Favourite,"$59,702,241","$24,900,000",41.7%,United Kingdom
85,The House with a Clock in its Walls,"$57,779,498","$10,902,560",18.9%,United Kingdom
86,Mu Hou Wan Jia,"$56,235,548","$56,055,948",99.7%,China
87,Kuai Ba Wo Ge Dai Zou,"$54,663,066","$54,608,416",99.9%,China
88,Robin Hood,"$53,922,813","$4,232,377",7.8%,Russia (CIS)
89,Truth or Dare,"$53,716,329","$5,408,290",10.1%,France
90,Instant Family,"$52,372,951","$13,632,203",26.0%,United Kingdom
91,Bei Shang Ni Liu Cheng He,"$51,400,598","$51,325,368",99.9%,China
92,La ch'tite famille,"$49,832,644","$46,316,364",92.9%,France
93,Searching,"$49,356,127","$22,602,116",45.8%,South Korea
94,Game Night,"$48,199,018","$6,800,000",14.1%,United Kingdom
95,Andhadhun,"$47,496,818","$47,111,380",99.2%,China
96,Les Tuche 3,"$47,427,990","$47,427,990",100.0%,France
97,Goosebumps 2: Haunted Halloween,"$46,594,157","$9,847,388",21.1%,United Kingdom
98,Campeones,"$46,216,840","$23,140,255",50.1%,France
99,Huang Jin Xiong Di,"$45,879,283","$45,776,272",99.8%,China
100,Legend of Tang Dynasty 2,"$45,521,268","$45,521,268",100.0%,China
101,Sherlock Gnomes,"$44,284,780","$12,178,373",27.5%,United Kingdom
102,A Simple Favor,"$44,080,131","$7,164,097",16.3%,Australia
103,BlacKkKlansman,"$43,838,790","$10,437,988",23.8%,France
104,The Spy Who Dumped Me,"$43,547,888","$8,895,647",20.4%,China
105,I Feel Pretty,"$42,758,196","$7,153,136",16.7%,United Kingdom
106,Taxi 5,"$41,957,523","$29,078,172",69.3%,France
107,Di Qiu Zui Hou De Ye Wang,"$41,597,098","$41,464,344",99.7%,China
108,Ansisung,"$41,282,567","$41,250,084",99.9%,South Korea
109,Zhao Dao Ni,"$41,046,927","$41,016,768",99.9%,China
110,wanbyeokhan tain,"$39,504,707","$39,392,310",99.7%,South Korea
111,Dokjeon,"$38,986,708","$38,912,975",99.8%,South Korea
112,Nada a Perder,"$37,720,311","$32,995,668",87.5%,Brazil
113,Gongjak,"$37,694,206","$37,608,112",99.8%,South Korea
114,Pan Zi Xinh Dong Dui,"$37,516,290","$37,457,752",99.8%,China
115,Hereditary,"$37,232,102","$7,210,513",19.4%,United Kingdom
116,Early Man,"$37,018,346","$14,699,781",39.7%,United Kingdom
117,Nan Ji Jue Lian,"$36,895,078","$36,878,368",100.0%,China
118,Le Grand Bain,"$36,577,489","$33,143,724",90.6%,France
119,T-34,"$35,937,828","$35,823,296",99.7%,Russia (CIS)
120,Den of Thieves,"$35,183,769","$3,921,505",11.1%,United Kingdom
121,Overboard,"$35,053,707","$26,170,476",74.7%,Mexico
122,Mia et le lion blanc,"$34,120,441","$13,793,732",40.4%,France
123,Blockers,"$33,733,833","$7,989,780",23.7%,Australia
124,A Wrinkle in Time,"$32,923,274","$6,437,040",19.6%,Russia (CIS)
125,Der Junge muss an die frische Luft,"$31,920,181","$31,822,424",99.7%,Germany
126,Widows,"$31,463,456","$8,306,335",26.4%,United Kingdom
127,Baaghi 2,"$31,089,276","$30,176,478",97.1%,India
128,Gintama 2: Okite wa Yaburu tame ni koso Aru,"$30,798,089","$30,735,376",99.8%,Japan
129,Hichki,"$30,444,106","$21,410,676",70.3%,China
130,Mary Queen of Scots,"$30,364,820","$12,111,452",39.9%,United Kingdom
131,Meng Chong Guo Jiang,"$30,355,804","$30,355,804",100.0%,China
132,Mile 22,"$30,186,363","$2,689,525",8.9%,Mexico
133,Kler,"$29,913,342","$28,274,636",94.5%,Poland
134,Amsusalin,"$29,433,930","$29,406,902",99.9%,South Korea
135,Lyod,"$29,409,365","$26,477,902",90.0%,Russia (CIS)
136,The Possession of Hannah Grace,"$27,949,213","$2,811,881",10.1%,Mexico
137,Mirai no Mirai,"$27,570,960","$23,683,484",85.9%,Japan
138,Gukgabudoui Nal,"$27,512,497","$27,503,988",100.0%,South Korea
139,Padman,"$27,243,759","$14,660,934",53.8%,India
140,Politseyskiy s Rublyovki. Novogodniy bespredel,"$27,061,365","$26,961,408",99.6%,Russia (CIS)
141,Zu Zong Shi Jiu Dai,"$26,796,280","$26,796,280",100.0%,China
142,Kamera o tomeru na!,"$26,649,625","$26,495,502",99.4%,Japan
143,Thugs of Hindostan,"$26,492,922","$15,800,000",59.6%,India
144,Adrift,"$26,452,180","$3,666,006",13.9%,Italy
145,Isle of Dogs,"$26,450,570","$7,653,385",28.9%,United Kingdom
146,Sicario: Day of the Soldado,"$25,819,346","$2,842,518",11.0%,United Kingdom
147,Night School,"$25,669,662","$5,991,551",23.3%,United Kingdom
148,The Darkest Minds,"$25,665,737","$5,793,878",22.6%,France
149,Kensatsu gawa no zainin,"$25,589,620","$23,929,620",93.5%,Japan
150,Rangasthalam,"$25,495,478","$25,202,753",98.9%,India
151,12 Strong,"$25,298,665","$3,612,286",14.3%,Venezuela
152,The Hurricane Heist,"$24,847,860","$13,655,054",55.0%,China
153,"Love, Simon","$24,694,292","$5,127,019",20.8%,United Kingdom
154,Geugeotmani Nae Sesang,"$24,376,704","$24,371,107",100.0%,South Korea
155,Manyeo,"$24,217,796","$24,214,410",100.0%,South Korea
156,Second Act,"$24,006,627","$3,870,141",16.1%,Mexico
157,Natsume's Book of Friends The Movie: Tied to th…,"$23,913,019","$17,004,368",71.1%,China
158,Tamjeong 2,"$23,832,011","$23,813,942",99.9%,South Korea
159,Inori no maku ga oriru toki,"$23,376,245","$13,057,377",55.9%,Japan
160,New Happy Dad and Son 3: Adventure in Russia,"$23,130,468","$23,130,468",100.0%,China
161,Vice,"$23,057,500","$5,378,242",23.3%,United Kingdom
162,Book Club,"$22,743,107","$5,398,822",23.7%,United Kingdom
163,Gekijouban Poketto monsutÃ¢: Minna no Monogatari,"$22,630,448","$21,000,450",92.8%,Japan
164,Ba Li Gong Lue,"$22,446,966","$22,400,790",99.8%,China
165,Tag,"$22,294,319","$2,563,635",11.5%,Australia
166,Yun Nan Chong Gu Yunnan Valley,"$22,268,448","$22,230,102",99.8%,China
167,Boku no Hero Academia the Movie,"$22,080,000","$8,242,562",37.3%,Japan
168,Tout le Monde Debout,"$22,078,709","$19,350,936",87.6%,France
169,Teen Titans Go! To The Movies,"$21,830,357","$3,400,000",15.6%,Mexico
170,Slender Man,"$21,381,124","$3,619,883",16.9%,Mexico
171,Da Shi Xiong,"$21,366,084","$21,292,966",99.7%,China
172,Minha Vida em Marte,"$21,105,636","$21,105,636",100.0%,Brazil
173,Aladâ2,"$20,917,377","$18,859,750",90.2%,France
174,Neoeui kyeol hoonsik,"$20,901,029","$20,901,029",100.0%,South Korea
175,Winchester,"$20,868,439","$4,122,724",19.8%,Mexico
176,Stan & Ollie,"$20,847,774","$13,619,819",65.3%,United Kingdom
177,Sonu Ke Titu Ki Sweety,"$20,686,846","$20,414,890",98.7%,India
178,Gonjiam: Haunted Asylum,"$20,230,328","$19,908,433",98.4%,South Korea
179,The Girl in the Spiderâs Web,"$20,154,787","$2,337,335",11.6%,Russia (CIS)
180,Gu Jian Qi Tan Zhi Liu Yue Zhao Ming,"$20,079,528","$20,079,528",100.0%,China
181,The 15:17 to Paris,"$19,819,914","$3,850,075",19.4%,Japan
182,Raid,"$19,578,006","$19,197,630",98.1%,India
183,Ye Wen hui chuan: Zhang Tianzhi,"$19,572,493","$19,490,366",99.6%,China
184,Mokgyeokja,"$19,469,123","$19,458,803",99.9%,South Korea
185,Oolong Courtyard:Kung Fu School,"$19,091,231","$19,077,816",99.9%,China
186,Detective Conan: Jolly Roger in Deep Azure,"$19,035,565","$1,613,781",8.5%,South Korea
187,The Guernsey Literary and Potato Peel Pie Society,"$18,961,504","$7,810,155",41.2%,United Kingdom
188,Jigeum Mannareo Gabmida,"$18,634,127","$18,595,437",99.8%,South Korea
189,Joseon Myungtamjung: Heubhyeolgwimaui Bimil,"$18,604,387","$18,594,960",99.9%,South Korea
190,Tian Qi Yu Bao,"$18,382,575","$18,374,998",100.0%,China
191,Duck Duck Goose,"$18,345,708","$5,865,892",32.0%,China
192,Show Dogs,"$18,126,346","$4,677,834",25.8%,United Kingdom
193,"Belle et SÃ©bastien 3, le Dernier Chapitre","$17,939,744","$13,803,960",76.9%,France
194,Overlord,"$17,473,345","$2,030,042",11.6%,Russia (CIS)
195,Bharat Ane Nenu,"$17,406,688","$17,056,921",98.0%,India
196,Durante la tormenta,"$17,361,796","$16,457,892",94.8%,China
197,21 Ke La,"$17,241,380","$17,241,380",100.0%,China
198,Kureyon Shinchan: Bakumori! Kanfu Boizu ~Ramen …,"$17,158,729","$14,742,463",85.9%,Japan
199,Sumaho o otoshita dake na no ni,"$16,831,582","$16,831,582",100.0%,Japan
200,MÃ¼slÃ¼m,"$16,738,469","$15,395,118",92.0%,Turkey
201,Escape Plan 2: Hades,"$16,668,668","$13,396,152",80.4%,China
202,Feng Yu Zhou,"$16,558,135","$16,558,135",100.0%,China
203,Arif v 216,"$16,495,648","$16,495,648",100.0%,Turkey
204,Peppermint,"$16,382,035","$1,785,499",10.9%,Netherlands
205,The Leisure Seeker,"$16,116,412","$12,626,647",78.3%,Italy
206,Myeong Dang,"$15,856,608","$15,856,608",100.0%,South Korea
207,102 Not Out,"$15,425,303","$9,857,464",63.9%,India
208,Yugo & Lala 4,"$15,382,225","$15,286,513",99.4%,China
209,Todos lo saben,"$15,367,614","$6,500,931",42.3%,France
210,Soratobu taiya,"$15,101,476","$15,101,476",100.0%,Japan
211,Hyeobsang,"$15,096,922","$15,082,995",99.9%,South Korea
212,Xing Fu Ma Shang Lai,"$14,798,770","$14,798,770",100.0%,China
213,Zimna wojna,"$14,778,191","$4,870,355",33.0%,Poland
214,Blood-Soaked GuangChang,"$14,651,659","$14,651,659",100.0%,China
215,Death Wish,"$14,558,937","$3,250,029",22.3%,China
216,Mayakwang,"$14,446,477","$14,446,477",100.0%,South Korea
217,SuperlÃ³pez,"$14,289,600","$14,289,600",100.0%,Spain
218,On the Basis of Sex,"$14,180,923","$2,241,624",15.8%,Australia
219,Finding Your Feet,"$14,145,441","$7,638,738",54.0%,United Kingdom
220,Trener,"$13,821,097","$12,931,978",93.6%,Russia (CIS)
221,Io sono Tempesta,"$13,748,817","$13,699,122",99.6%,Italy
222,100 Dinge,"$13,737,671","$13,073,268",95.2%,Germany
223,Chihayafuru: Musubi,"$13,649,091","$13,649,091",100.0%,Japan
224,The Children Act,"$13,577,789","$3,646,145",26.9%,United Kingdom
225,Hunter Killer,"$13,557,749","$2,338,137",17.2%,Japan
226,Le Jeu,"$13,189,052","$13,107,940",99.4%,France
227,Kobiety Mafii,"$13,100,948","$12,315,405",94.0%,Poland
228,Die Kleine Hexe,"$12,923,668","$12,071,331",93.4%,Germany
229,Life of the Party,"$12,700,000","$4,063,720",32.0%,Australia
230,Midnight Sun,"$12,598,345","$4,073,503",32.3%,Italy
231,Jim Knopf und Lukas der LokomotivfÃ¼hrer,"$12,572,980","$12,080,941",96.1%,Germany
232,PMC: deo beong-keo,"$12,478,635","$12,478,635",100.0%,South Korea
233,Kamen RaidÃ¢ Heisei JenerÃªshonzu FoebÃ¢,"$12,465,928","$12,465,928",100.0%,Japan
234,Crystal Sky Of Yesterday,"$12,104,346","$12,061,164",99.6%,China
235,Sungnan Hwangso,"$11,770,583","$11,754,277",99.9%,South Korea
236,Changgwol,"$11,769,738","$11,729,891",99.7%,South Korea
237,A Casa Tutti Bene,"$11,746,742","$11,186,318",95.2%,Italy
238,Ãakallarla Dans 5,"$11,687,785","$11,687,785",100.0%,Turkey
239,"Ni Hao, Zhi Hua","$11,648,683","$11,609,064",99.7%,China
240,Mary Magdalene,"$11,585,369","$1,691,269",14.6%,Italy
241,Wu Lin Guai Shou,"$11,573,104","$11,558,566",99.9%,China
242,Jiang hu er nv,"$11,552,069","$10,067,571",87.1%,China
243,Cinderella and The Secret Prince,"$11,541,841","$8,637,069",74.8%,China
244,Yolki Posledniye,"$11,499,494","$11,365,043",98.8%,Russia (CIS)
245,Thaanaa Serndha Koottam,"$11,383,175","$11,109,031",97.6%,India
246,Doeorak,"$11,366,235","$11,366,235",100.0%,South Korea
247,Bad Times at the El Royale,"$11,360,284","$2,597,940",22.9%,Russia (CIS)
248,Holmes & Watson,"$11,357,862","$4,935,304",43.5%,United Kingdom
249,50 Kaime no Fasuto Kisu,"$11,342,404","$11,342,404",100.0%,Japan
250,Qian Ting Zong Dong Yuan: Hai Di Liang Wan Li,"$11,264,408","$10,949,902",97.2%,China
251,Agnyaathavaasi,"$11,158,499","$11,151,305",99.9%,India
252,The Adventure of Afanti,"$11,113,411","$11,113,411",100.0%,China
253,Free Solo,"$11,070,000","$4,600,000",41.6%,China
254,Ya Khudeyu,"$10,999,308","$10,921,568",99.3%,Russia (CIS)
255,Rapurasu no majo,"$10,973,351","$10,919,843",99.5%,Japan
256,Gnome Alone,"$10,924,451","$2,386,679",21.8%,Poland
257,Golden Slumber,"$10,723,414","$10,706,436",99.8%,South Korea
258,Xie Mi Xing Zhe,"$10,657,326","$10,626,552",99.7%,China
259,Benedetta Follia,"$10,599,900","$10,522,138",99.3%,Italy
260,Liteul Poleseuteu,"$10,598,724","$10,598,724",100.0%,South Korea
261,Luis Und Die Aliens,"$10,573,055","$1,852,609",17.5%,Russia (CIS)
262,El Angel,"$10,457,244","$5,056,159",48.4%,United Kingdom
263,Annihilation,"$10,338,614","$10,338,614",100.0%,China
264,Yo-kai Watch Movie 5: Forever Friends,"$10,336,365","$10,336,365",100.0%,Japan
265,Long Xia Xing Jing,"$10,295,882","$10,261,313",99.7%,China
266,Gui Mi 2,"$10,244,720","$10,166,181",99.2%,China
267,25 km/h,"$10,210,693","$9,821,234",96.2%,Germany
268,Seuwingkizeu,"$10,181,763","$10,164,648",99.8%,South Korea
269,Klassentreffen,"$10,166,333","$10,166,333",100.0%,Germany
270,Kohi ga Samenai Uchi Ni,"$10,164,971","$10,164,971",100.0%,Japan
271,Ying Xiong Ben Se 2018,"$10,079,961","$9,969,143",98.9%,China
272,"Kon'ya, romansu gekijÃ´ de","$10,068,346","$7,972,445",79.2%,Japan
273,Maya the Bee: The Honey Games,"$10,033,480","$2,302,119",22.9%,Poland
